song_title,artist,rank_t,tempo
Creep,Naeleck,65,124.013
Banana (feat. Shaggy) - DJ FLe - Minisiren Remix,Conkarah,65,95.114
Renee,SALES,65,108.957
dirty laundry,blackbear,65,100.044
Running To You (feat. Caden),VINAI,65,124.09
Memories,Coopex,64,123.979
Boys Ain't Shit,SAYGRACE,64,102.999
Don't Rush (feat. Headie One),Young T & Bugsey,63,108.028
That Way,Lil Uzi Vert,62,129.962
Follow Me,Senhit,60,122.014
Astronomia,Vicetone,60,126.093
Say It Right,Coopex,60,125.976
Pepas,YES YES,58,125.973
Oh No,Kreepa,58,176.123
The Plan,Arman Aydin,58,124.034
Left and Right (Charlie Puth) [feat. Jung Kook of BTS] - Sped Up Version,sped up nightcore,58,114.269
Free Falling Love,Lucas Estrada,58,120.012
motive (with Doja Cat),Ariana Grande,57,116.965
Flex On My Ex (with Bankrol Hayden),KillBunk,57,85.285
Paint It Black,Dame Dame,56,125.985
Demons,CPX,56,124.056
Being Good Is Boring,Jena Rose,55,111.986
Wicked Game,YES YES,55,125.005
Ready 4 Luv - TMLH Summer Mix,CAZZETTE,55,125.09
Counting Stars,Farux,54,124.791
Say My Name,Why Not,54,125.981
On My Way!,P.S.,54,119.021
Heart of Glass,Nito-Onna,54,123.89
Forever,Gianni Blu,54,124.998
Work from Home,Coopex,54,125.014
When You're Gone,Paradigm,53,124.036
Crazy,Alex D'Rosso,53,123.056
Fly,Alex D'Rosso,53,140.142
Lost on You,sad girls,53,121.796
California Dreaming,Jorm,53,124.048
Only Girl,Coopex,52,127.983
Long Road,HotBlock Jmoe,52,162.039
Complicated,Nito-Onna,52,134.088
I Wanna Know,Alex Alexander,52,112.043
Can't Get You Out of My Head,loafers,52,129.886
Would I Lie to You,MISERO,51,120.067
Ocean Drive,Harddope,51,120.009
Riptide,Viva La Panda,51,101.996
Leap of Faith,Alex Alexander,51,169.893
Forever,Nadia Gattas,51,124.038
Rude Boy,YES YES,50,101.995
Good Morning,P.S.,50,171.907
Say It Right,MØRFI,50,124.084
Later Bitches,The Prince Karma,49,121.116
Moi... Lolita,Monaldin,49,109.92
Cool for the Summer,Alex D'Rosso,49,136.01
RAPSTAR,Polo G,49,81.039
Whatever You Like,DLAY,49,123.976
You Don't Know Me,Dame Dame,49,124.953
Without You,Baby Bluu,49,120.119
The Hills,Farux,48,125.916
Play With Me,Ana Shine,48,95.065
