song_title,artist,rank_t,tempo
Calling My Phone,Lil Tjay,15,104.949
Wicked Game,YES YES,55,125.005
You Right,Doja Cat,84,128.986
Whoopty,CJ,74,140.201
Electric Love,BØRNS,82,120.041
When Hello Means Goodbye,Alex Alexander,44,166.016
"More Than A Woman - From ""Saturday Night Fever"" Soundtrack",Bee Gees,76,106.164
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Riton,83,122.98
Hawái,Maluma,77,180.067
Mood (feat. iann dior),"24kGoldn, iann dior",18,90.989
Paid,Astelle,39,117.993
drivers license,Olivia Rodrigo,29,143.874
Lemonade,Internet Money,76,140.04
K Boy Bye,Astelle,39,159.87
Up,Cardi B,70,166.0
Just The Two of Us,Kauai45,67,81.672
Play With Me,Ana Shine,48,95.065
Best Friend (feat. Doja Cat),Saweetie,45,94.018
Cupid's Chokehold / Breakfast in America,Gym Class Heroes,77,78.953
Forever,Nadia Gattas,51,124.038
The Business,Tiësto,83,120.031
telepatía,Kali Uchis,82,83.97
"Gravity (feat. Tyler, The Creator)",Brent Faiyaz,72,163.924
motive (with Doja Cat),Ariana Grande,57,116.965
Feel Your Love,Yusuf Alev,43,124.981
Lost on You,sad girls,53,121.796
Good Days,SZA,81,121.002
What You Know Bout Love,Pop Smoke,81,83.995
Rude Boy,YES YES,50,101.995
WAP (feat. Megan Thee Stallion),Cardi B,80,133.073
Savage Love (Laxed - Siren Beat),Jawsh 685,77,150.076
dirty laundry,blackbear,65,100.044
HOLIDAY,Lil Nas X,73,151.947
WITHOUT YOU,The Kid LAROI,80,93.005
Fly,Alex D'Rosso,53,140.142
ROCKSTAR (feat. Roddy Ricch),DaBaby,80,89.977
34+35,Ariana Grande,80,109.978
Rover (feat. DTG),S1mba,78,62.948
Put Your Records On,Ritt Momney,1,91.066
Mood Swings (feat. Lil Tjay),Pop Smoke,78,179.798
Therefore I Am,Billie Eilish,75,94.009
Wild & Free,Nander,39,155.941
Glad You Came,Braaheim,48,125.997
For The Night (feat. Lil Baby & DaBaby),Pop Smoke,80,125.971
Backyard Boy,Claire Rosinkranz,0,138.026
TKN (feat. Travis Scott),ROSALÍA,72,94.634
Say It Right,Coopex,60,125.976
Without You,Baby Bluu,49,120.119
Play Date,Melanie Martinez,78,123.97
Freak,Doja Cat,72,116.912
Falling Down,Andrew Nagy,38,123.005
Wait a Minute!,WILLOW,86,101.003
Banana (feat. Shaggy) - DJ FLe - Minisiren Remix,Conkarah,65,95.114
Over You,Myrrhe,37,98.948
FLIP THE SWITCH (feat. Drake),Quavo,67,86.048
The Boss,Coopex,47,125.992
Party Girl,StaySolidRocky,71,130.022
Love Me Again,CPX,46,125.0
Renee,SALES,65,108.957
Don't Rush (feat. Headie One),Young T & Bugsey,63,108.028
Right Here Waiting,Boostereo,0,115.052
THE SCOTTS,THE SCOTTS,76,129.979
Cool for the Summer,Alex D'Rosso,49,136.01
Kiss Me,Lucas Estrada,47,107.938
Red Flag,Pia Baris,31,126.069
One too Many Times,JRL,47,122.023
Boys Ain't Shit,SAYGRACE,64,102.999
Boss Bitch,Doja Cat,78,125.989
Only Girl,Coopex,52,127.983
Tap In,Saweetie,67,100.036
Forever,Gianni Blu,54,124.998
Rather Be,Cabuizee,46,120.978
Savage,Megan Thee Stallion,70,168.983
Blueberry Faygo,Lil Mosey,75,99.034
Break My Heart,Dua Lipa,78,113.011
On My Way,Alex Alexander,40,96.039
Astronomia,Vicetone,60,126.093
The Box,Roddy Ricch,81,116.971
What's up?,LeXxìv,43,120.06
Supalonely,BENEE,72,128.977
Toosie Slide,Drake,69,81.604
Don't Start Now,Dua Lipa,79,123.941
Be Kind (with Halsey),Marshmello,77,93.995
Intentions (feat. Quavo),Justin Bieber,77,147.986
Old Times,Xtinctor,38,92.992
"Hey, Soul Sister",LANDR,41,105.101
Later Bitches,The Prince Karma,49,121.116
Life Is Good (feat. Drake),Future,77,142.037
WHATS POPPIN,Jack Harlow,4,145.062
Let Her Go,LANDR,44,120.018
Sunday Best,Surfaces,77,112.022
DÁKITI,Dame Dame,47,121.975
Say So,Doja Cat,80,110.962
In Your Eyes,The Weeknd,79,100.021
Falling,Trevor Daniel,15,127.085
Let It Go,Dame Dame,38,122.039
death bed (coffee for your head),Powfu,82,144.026
That Way,Lil Uzi Vert,62,129.962
Baby I'm Yours,Breakbot,69,118.05
BOP,DaBaby,76,126.77
OUT WEST (feat. Young Thug),JACKBOYS,77,139.864
Blinding Lights,The Weeknd,18,171.017
When the Sun Goes Down,Martin van Lectro,37,123.752
Skechers,DripReport,0,99.998
ROXANNE,Arizona Zervas,78,116.735
Shooting Stars,Bag Raiders,0,124.968
The Git Up,Blanco Brown,3,97.984
Payphone,Faruk Orman,45,125.07
I Don't Care (with Justin Bieber),Ed Sheeran,78,101.956
hot girl bummer,blackbear,5,129.989
Demons,CPX,56,124.056
Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5,74,124.959
Without Me,Halsey,77,136.041
Plug Walk,Rich The Kid,70,94.981
California Dreaming,Jorm,53,124.048
Rockstar,Ilkay Sencan,69,100.012
Falling for U,Peachy!,1,79.509
Lovely,Alfons,45,128.078
The Less I Know The Better,Tame Impala,84,116.879
Dandelions,Ruth B.,90,116.959
Jimmy Cooks (feat. 21 Savage),Drake,92,165.921
Good Looking,Suki Waterhouse,80,149.971
INFERNO,Sub Urban,71,127.883
