song_title,artist,rank_s,rank_t,rank_b,tempo
Boy With Luv (feat. Halsey),"BTS, Halsey",3.0,,,119.947
Boyfriend,Dove Cameron,11.0,,51.0,179.773
Boyfriends,Harry Styles,22.0,,,118.029
Boys Ain't Shit,SAYGRACE,,64.0,,102.999
Boys Don't Cry,Anitta,107.0,,,164.163
Break My Heart,Dua Lipa,,78.0,,113.011
Brividi,"Mahmood, BLANCO",9.0,,,122.962
Broadway Girls,Lil Durk featuring Morgan Wallen,,,81.0,
Build a Bitch,Bella Poarch,,76.0,,102.931
Bundles (feat. Taylor Girlz),Kayla Nicole,,67.0,,130.022
Buss It,Erica Banks,,0.0,,109.997
Bussin,"Nicki Minaj, Lil Baby",122.0,,,139.972
Butter,BTS,2.0,,,109.997
Buy Dirt,Jordan Davis and Luke Bryan,,,49.0,
CACHORRINHAS,Luísa Sonza,109.0,,,98.119
CANDY,ROSALÍA,44.0,,,179.905
CHICKEN TERIYAKI,ROSALÍA,152.0,,,97.936
CHURCH GIRL,Beyoncé,39.0,,,92.028
COZY,Beyoncé,50.0,,,149.147
CUFF IT,Beyoncé,30.0,,,115.042
Caile,Luar La L,75.0,,,121.737
California Dreaming,Jorm,,53.0,,124.048
Call Out My Name,The Weeknd,1.0,,,134.17
Callaita,"Bad Bunny, Tainy",7.0,,,176.086
Calling My Name,Drake,30.0,,,123.985
Calling My Phone,Lil Tjay,,15.0,,104.949
Calm Down,Rema,130.0,,,107.003
Can't Get You Out of My Head,loafers,,52.0,,129.886
Can't Hold Us (feat. Ray Dalton),"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton",149.0,,,146.097
Carolina - From The Motion Picture “Where The Crawdads Sing”,Taylor Swift,152.0,,,115.851
Cash In Cash Out,"Pharrell Williams, 21 Savage, Tyler, The Creator",53.0,,,119.971
"Cayó La Noche (feat. Cruz Cafuné, Abhir Hathi, Bejo, EL IMA) [Remix]","La Pantera, Quevedo, Juseph, Abhir Hathi, Bejo, Cruz Cafuné, EL IMA",58.0,,,173.974
Chaa Chaa Chaa (feat. HoodCelebrityy),Girll Codee,,45.0,,139.925
Chale,Eden Muñoz,75.0,,,188.651
Chance,Paulo Londra,56.0,,,137.915
Christmas Tree,V,100.0,,,139.009
Churchill Downs (feat. Drake),"Jack Harlow, Drake",57.0,,,96.448
Ciao Ciao,La rappresentante di lista,151.0,,,117.994
Cigarettes,Juice WRLD,27.0,,,160.014
Cinema,Harry Styles,13.0,,,105.993
Circles,Post Malone,1.0,,,120.042
Circles Around This Town,Maren Morris,,,100.0,
City of Gods,"Fivio Foreign, Kanye West, Alicia Keys",57.0,,,147.356
Closer,"The Chainsmokers, Halsey",2.0,,,95.01
Cold Heart (Pnau Remix),Elton John and Dua Lipa,,,10.0,
Cold Heart - PNAU Remix,Elton John,,73.0,,116.032
Cold Heart - PNAU Remix,"Elton John, Dua Lipa, PNAU",4.0,,,116.032
Come Back Home,Sofia Carson,193.0,,,144.946
Complicated,Nito-Onna,,52.0,,134.088
Cool for the Summer,Alex D'Rosso,,49.0,,136.01
Cool for the Summer,Demi Lovato,61.0,,,114.06
Cooped Up (with Roddy Ricch),Post Malone,,83.0,,93.923
Cooped Up (with Roddy Ricch),"Post Malone, Roddy Ricch",18.0,,,93.923
Count Me Out,Kendrick Lamar,24.0,,,133.999
Counting Stars,Farux,,54.0,,124.791
Counting Stars,OneRepublic,117.0,,,122.016
Crazy,Alex D'Rosso,,53.0,,123.056
Crazy What Love Can Do,"David Guetta, Becky Hill, Ella Henderson",127.0,,,122.872
Creep,Naeleck,,65.0,,124.013
Crown,Kendrick Lamar,54.0,,,173.329
Cupid's Chokehold / Breakfast in America,Gym Class Heroes,,77.0,,78.953
Currents,Drake,38.0,,,122.013
Cúrame,Rauw Alejandro,35.0,,,102.101
D.M.B.,A$AP Rocky,159.0,,,140.014
DANCE CRIP,Trueno,79.0,,,106.024
DANÇARINA,"PEDRO SAMPAIO, Mc Pedrinho",32.0,,,134.999
DARARI,TREASURE,102.0,,,84.955
DESPECHÁ,ROSALÍA,6.0,,,130.037
DON'T YOU WORRY,"Black Eyed Peas, Shakira, David Guetta",189.0,,,131.967
Daddy Issues,The Neighbourhood,99.0,,,85.012
Damn Strait,Scotty McCreery,,,93.0,
Dance Monkey,Tones And I,1.0,,,98.029
Dandelions,Ruth B.,35.0,90.0,,116.959
Dark Red,Steve Lacy,66.0,,,172.041
Dawn FM,The Weeknd,27.0,,,111.65
Daydreaming,Harry Styles,16.0,,,113.971
Daylight,Harry Styles,10.0,,,145.5
Demasiadas Mujeres,C. Tangana,127.0,,,126.043
Demons,CPX,,56.0,,124.056
Demons,Imagine Dragons,194.0,,,89.938
Depende,"Dj Guuga, Wesley Safadão, Zé Felipe",129.0,,,130.027
Desesperados,"Rauw Alejandro, Chencho Corleone",8.0,,,90.02
Después de la Playa,Bad Bunny,7.0,,78.0,78.293
Die For You,The Weeknd,41.0,,,133.629
Die Hard,"Kendrick Lamar, Blxst, Amanda Reifer",8.0,,,100.988
Die Young (feat. 347aidan),"Sleepy Hallow, 347aidan",97.0,,,77.471
Dinero,Trinidad Cardona,,73.0,,119.997
Distraction,Polo G,121.0,,,156.934
Do I Wanna Know?,Arctic Monkeys,117.0,,,85.03
Do It To It,"ACRAZE, Cherish",9.0,,,124.927
Do We Have A Problem?,"Nicki Minaj, Lil Baby",48.0,,,119.993
Doin' This,Luke Combs,,,71.0,
Doja,Central Cee,15.0,,,140.04
Don't Be Shy,"Tiësto, KAROL G",38.0,,,119.986
Don't Play That,"King Von, 21 Savage",144.0,,,129.988
Don't Rush (feat. Headie One),Young T & Bugsey,,63.0,,108.028
Don't Start Now,Dua Lipa,2.0,79.0,,123.95
Don't Think Jesus,Morgan Wallen,96.0,,,116.979
Don’t Blame Me,Taylor Swift,72.0,,,135.917
Don’t Break My Heart,The Weeknd,55.0,,,121.959
Dos Mil 16,Bad Bunny,19.0,,,130.058
Dos Oruguitas,Sebastian Yatra,104.0,,,93.788
Down Hill,Drake,89.0,,,109.994
Down Under (feat. Colin Hay),Luude,,72.0,,171.966
Down Under (feat. Colin Hay),"Luude, Colin Hay",72.0,,,171.835
Dreamer,Astelle,,42.0,,150.056
Dua Lipa,Jack Harlow,37.0,,,158.022
Dynamite,BTS,2.0,,,114.044
DÁKITI,"Bad Bunny, Jhay Cortez",1.0,,,109.928
DÁKITI,Dame Dame,,47.0,,121.975
ELEVEN,IVE,103.0,,,119.978
ENERGY (feat. Beam),"Beyoncé, BEAM",34.0,,,114.991
Easy On Me,Adele,1.0,,,141.981
Easy on Me,Adele,,,4.0,
Eazy,"The Game, Kanye West",35.0,,,82.393
Efecto,Bad Bunny,7.0,,69.0,98.047
El Apagón,Bad Bunny,28.0,,,117.765
El Rescate,"Grupo Marca Registrada, Junior H",129.0,,,99.238
Electric Love,BØRNS,,82.0,,120.041
Ella - Remix,"Boza, Lunay, Lenny Tavárez, Juhn, Beéle",188.0,,,180.062
"Elliot's Song - From ""Euphoria"" An HBO Original Series","Dominic Fike, Zendaya",130.0,,,93.358
En El Radio Un Cochinero,Victor Cibrian,148.0,,,154.028
Enchanted,Taylor Swift,61.0,,,81.975
Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,,87.0,,77.011
Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons and JID,,,15.0,
Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons, JID, Arcane, League of Legends",3.0,,,77.011
Enemy - From the series Arcane League of Legends,"Imagine Dragons, Arcane, League of Legends",171.0,,,77.029
Enséñame a Bailar,Bad Bunny,27.0,,,105.009
Entre Nosotros (Remix) [con Nicki Nicole],"Tiago PZK, LIT killah, Maria Becerra, Nicki Nicole",53.0,,,170.106
Envolver,Anitta,3.0,86.0,,91.993
Esqueça-Me Se For Capaz,"Marília Mendonça, Maiara & Maraisa",67.0,,,122.013
Essence,Wizkid featuring Justin Bieber and Tems,,,64.0,
Euthanasia,Post Malone,191.0,,,141.997
Everlong,Foo Fighters,164.0,,,158.066
Every Angel is Terrifying,The Weeknd,62.0,,,118.167
Every Breath You Take,The Police,109.0,,,117.401
Every Summertime,NIKI,124.0,,,78.996
Everybody Wants To Rule The World,Tears For Fears,105.0,,,112.067
Excuses,"AP Dhillon, Gurinder Gill, Intense",56.0,,,94.984
FEARLESS,LE SSERAFIM,149.0,,,103.971
FLIP THE SWITCH (feat. Drake),Quavo,,67.0,,86.048
FOR A NUT (feat. Gunna & Young Thug),"Future, Gunna, Young Thug",139.0,,,82.037
Fair Trade (with Travis Scott),"Drake, Travis Scott",3.0,,,167.937
Fall in Love,Bailey Zimmerman,,,54.0,
Falling,Harry Styles,29.0,,,110.011
Falling,Trevor Daniel,,15.0,,127.085
Falling Back,Drake,10.0,,,118.989
Falling Down,Andrew Nagy,,38.0,,123.005
Falling for U,Peachy!,,1.0,,79.509
Fancy Like,Walker Hayes,,,35.0,
Father Time (feat. Sampha),"Kendrick Lamar, Sampha",14.0,,,152.869
Feel My Rhythm,Red Velvet,114.0,,,157.964
Feel Your Love,Yusuf Alev,,43.0,,124.981
Ferrari,"James Hype, Miggy Dela Rosa",36.0,,,125.004
Fever - Remix,XY&O,,0.0,,120.018
Fim de Semana no Rio,Teto,139.0,,,118.868
Fingers Crossed,Lauren Spencer Smith,17.0,,,109.414
Fingers Crossed,Lauren Spencer-Smith,,,75.0,
First Class,Jack Harlow,2.0,89.0,6.0,107.005
Flex On My Ex (with Bankrol Hayden),KillBunk,,57.0,,85.285
Flight's Booked,Drake,49.0,,,122.584
Flower Shops,Ernest featuring Morgan Wallen,,,96.0,
Flowers,Lauren Spencer Smith,72.0,,,66.165
Fly,Alex D'Rosso,,53.0,,140.142
Follow Me,Senhit,,60.0,,122.014
For The Night (feat. Lil Baby & DaBaby),Pop Smoke,,80.0,,125.971
For Youth,BTS,30.0,,,116.855
Forever,Gianni Blu,,54.0,,124.998
Forever,Labrinth,185.0,,,79.983
Forever,Nadia Gattas,,51.0,,124.038
Formula,Labrinth,68.0,,,144.654
Freak,Doja Cat,,72.0,,116.912
Freaks,Surf Curse,55.0,85.0,,179.626
Freaky Deaky,"Tyga, Doja Cat",83.0,,,104.019
Free Falling Love,Lucas Estrada,,58.0,,120.012
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Riton,,83.0,,122.98
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",15.0,,,122.98
From The D 2 The LBC (with Snoop Dogg),"Eminem, Snoop Dogg",135.0,,,82.037
Frozen,Madonna,,76.0,,110.005
Fuera del mercado,Danny Ocean,122.0,,,92.06
GIVENCHY,Duki,25.0,,,102.974
GOLD STACKS,Future,190.0,,,181.856
Gangsta's Paradise,"Coolio, L.V.",116.0,,,79.975
Gasoline,The Weeknd,13.0,,,123.006
Get Into It (Yuh),Doja Cat,36.0,,68.0,91.942
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,"Daft Punk, Pharrell Williams, Nile Rodgers",167.0,,,116.047
Ghost,Justin Bieber,11.0,,8.0,153.96
Ginseng Strip 2002,Yung Lean,44.0,,,114.998
Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5,,74.0,,124.959
Glad You Came,Braaheim,,48.0,,125.997
Glimpse of Us,Joji,1.0,97.0,52.0,169.914
Godzilla (feat. Juice WRLD),"Eminem, Juice WRLD",4.0,,,165.995
Golden,Harry Styles,44.0,,,139.863
Good 4 U,Olivia Rodrigo,,,31.0,
Good Days,SZA,,81.0,,121.002
Good Looking,Suki Waterhouse,,80.0,,149.971
Good Morning,P.S.,,50.0,,171.907
Grapejuice,Harry Styles,11.0,,,182.928
"Gravity (feat. Tyler, The Creator)",Brent Faiyaz,,72.0,,163.924
HEATED,Beyoncé,93.0,,,110.952
HENTAI,ROSALÍA,186.0,,,124.279
HOLIDAY,Lil Nas X,,73.0,,151.947
HUMBLE.,Kendrick Lamar,1.0,,,150.011
Happier Than Ever,Billie Eilish,6.0,,,81.055
Happier Than Ever - Edit,Billie Eilish,70.0,,,161.74
Hati-Hati di Jalan,Tulus,45.0,,,71.969
Hawái,Maluma,,77.0,,180.067
Heart of Glass,Nito-Onna,,54.0,,123.89
Heartbreak Anniversary,Giveon,8.0,,,89.087
Heartless,Kanye West,198.0,,,87.999
Heat Waves,Glass Animals,1.0,89.0,1.0,80.87
Heather,Conan Gray,12.0,,,102.078
"Here We Go… Again (feat. Tyler, the Creator)","The Weeknd, Tyler, The Creator",25.0,,,134.943
"Hey, Soul Sister",LANDR,,41.0,,105.101
High,The Chainsmokers,70.0,,,134.981
Hold My Hand,Lady Gaga,110.0,,,148.009
Hold That Heat (feat. Travis Scott),"Southside, Future, Travis Scott",196.0,,,130.045
Honest (feat. Don Toliver),"Justin Bieber, Don Toliver",29.0,,,150.002
Hope,XXXTENTACION,42.0,,,146.04
Hot In It,"Tiësto, Charli XCX",150.0,,,123.045
Hot Shit (feat. Ye & Lil Durk),"Cardi B, Kanye West, Lil Durk",54.0,,,157.003
House of Memories,Panic! At The Disco,64.0,86.0,,109.952
How Do I Make You Love Me?,The Weeknd,14.0,,,121.006
Hrs & Hrs,Muni Long,119.0,,,139.885
Hrs and Hrs,Muni Long,,,57.0,
Hype Boy,NewJeans,171.0,,,99.976
I AM WOMAN,Emmy Meli,51.0,76.0,,170.084
I Ain't Worried,OneRepublic,13.0,,37.0,139.994
I Cannot Be (A Sadder Song) (with Gunna),"Post Malone, Gunna",86.0,,,79.782
I Don't Care (with Justin Bieber),Ed Sheeran,,78.0,,101.956
I Hate U,SZA,19.0,79.0,50.0,106.703
I Heard You’re Married (feat. Lil Wayne),"The Weeknd, Lil Wayne",28.0,,,109.946
I Like You (A Happier Song),Post Malone featuring Doja Cat,,,26.0,
I Like You (A Happier Song) (with Doja Cat),"Post Malone, Doja Cat",10.0,,,100.964
I Love You So,The Walters,21.0,,,75.977
I WANNA BE YOUR SLAVE,Måneskin,8.0,,,132.507
I Wanna Be Yours,Arctic Monkeys,103.0,,,67.528
I Wanna Know,Alex Alexander,,52.0,,112.043
I Was Never There,"The Weeknd, Gesaffelstein",17.0,,,113.26
