song_title,artist,rank_s,rank_t,rank_b,tempo
Sacrifice,The Weeknd,3,,,122.0
Payphone,"Maroon 5, Wiz Khalifa",136,,,110.015
LA CANCIÓN,"J Balvin, Bad Bunny",17,,,176.089
Thinking with My Dick (feat. Juicy J),"Kevin Gates, Juicy J",128,,,81.003
Shape of You,Ed Sheeran,1,,,95.977
The Nights,Avicii,44,,,125.983
Gangsta's Paradise,"Coolio, L.V.",116,,,79.975
"Surface Pressure - From ""Encanto""/Soundtrack Version",Jessica Darrow,23,,,180.042
Riptide,Vance Joy,122,,,101.654
Better Days (NEIKED x Mae Muller x Polo G),"NEIKED, Mae Muller, Polo G",32,,,110.054
Bohemian Rhapsody - Remastered 2011,Queen,11,,,71.105
No Lie,"Sean Paul, Dua Lipa",80,,,102.04
Malvada,Zé Felipe,58,,,134.947
Don't Be Shy,"Tiësto, KAROL G",38,,,119.986
Perfect,Ed Sheeran,4,,,95.05
CHICKEN TERIYAKI,ROSALÍA,152,,,97.936
One Dance,"Drake, WizKid, Kyla",12,,,103.967
Nostálgico,"Rvssian, Rauw Alejandro, Chris Brown",40,,,98.026
Mr. Brightside,The Killers,98,,,148.033
Nobody Like U,"4*TOWN (From Disney and Pixar’s Turning Red), Jordan Fisher, Finneas O'Connell, Topher Ngo, Grayson Villanueva, Josh Levi",157,,,105.026
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,1,,,93.023
Circles,Post Malone,1,,,120.042
La Zona,Bad Bunny,60,,,93.992
Take Me To Church,Hozier,108,,,128.945
Heather,Conan Gray,12,,,102.078
In Da Club,50 Cent,77,,,90.051
Mal Feito - Ao Vivo,"Hugo & Guilherme, Marília Mendonça",72,,,123.942
Just a Cloud Away,Pharrell Williams,165,,,112.56
this is what falling in love feels like,JVKE,142,,,128.983
Dance Monkey,Tones And I,1,,,98.029
happier,Olivia Rodrigo,12,,,168.924
Hope,XXXTENTACION,42,,,146.04
Se Le Ve,"Dímelo Flow, Dalex, Sech, Justin Quiles, Arcangel, De La Ghetto, Lenny Tavárez",110,,,83.997
Meet Me At Our Spot,"THE ANXIETY, WILLOW, Tyler Cole",24,,,94.995
Wake Me Up,Avicii,13,,,124.08
"Residente: Bzrp Music Sessions, Vol. 49","Bizarrap, Residente",18,,,71.378
love nwantiti (feat. Dj Yo! & AX'EL) - Remix,"CKay, Dj Yo!, AX'EL",14,,,119.9
Freaky Deaky,"Tyga, Doja Cat",83,,,104.019
Excuses,"AP Dhillon, Gurinder Gill, Intense",56,,,94.984
Why'd You Only Call Me When You're High?,Arctic Monkeys,104,,,92.004
Lucid Dreams,Juice WRLD,3,,,83.903
Lost in the Fire (feat. The Weeknd),"Gesaffelstein, The Weeknd",12,,,100.966
BIZCOCHITO,ROSALÍA,180,,,116.972
Godzilla (feat. Juice WRLD),"Eminem, Juice WRLD",4,,,165.995
Can't Hold Us (feat. Ray Dalton),"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton",149,,,146.097
Monëy so big,Yeat,184,,,138.016
HENTAI,ROSALÍA,186,,,124.279
Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",5,,,148.088
TOMBOY,(G)I-DLE,189,,,124.032
Something Just Like This,"The Chainsmokers, Coldplay",2,,,103.019
Thunder,"Gabry Ponte, LUM!X, Prezioso",110,,,101.216
Do I Wanna Know?,Arctic Monkeys,117,,,85.03
ABALO EMOCIONAL - Ao Vivo,Luan Santana,194,,,185.936
Señorita,"Shawn Mendes, Camila Cabello",1,,,116.967
Stan,"Eminem, Dido",138,,,80.063
Before You Go,Lewis Capaldi,19,,,111.881
Space Song,Beach House,174,,,147.067
Say You Won't Let Go,James Arthur,7,,,85.043
Streets,Doja Cat,9,,,90.035
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",1,,,128.033
Me Porto Bonito,"Bad Bunny, Chencho Corleone",2,,,92.005
DESPECHÁ,ROSALÍA,6,,,130.037
Ojitos Lindos,"Bad Bunny, Bomba Estéreo",3,,,79.928
La Bachata,Manuel Turizo,13,,,124.98
PROVENZA,KAROL G,6,,,111.005
Bad Decisions (with BTS & Snoop Dogg),"benny blanco, BTS, Snoop Dogg",15,,,120.048
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, Jung Kook, BTS",7,,,101.058
Doja,Central Cee,15,,,140.04
STAYING ALIVE (feat. Drake & Lil Baby),"DJ Khaled, Drake, Lil Baby",21,,,129.953
Tarot,"Bad Bunny, Jhay Cortez",9,,,114.011
Te Felicito,"Shakira, Rauw Alejandro",13,,,174.14
Party,"Bad Bunny, Rauw Alejandro",6,,,97.013
I Like You (A Happier Song) (with Doja Cat),"Post Malone, Doja Cat",10,,,100.964
Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",7,,,165.921
Under The Influence,Chris Brown,32,,,116.992
Sunroof,"Nicky Youre, dazy",28,,,131.443
Ferrari,"James Hype, Miggy Dela Rosa",36,,,125.004
La Corriente,"Bad Bunny, Tony Dize",17,,,196.12
One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",2,,,123.994
Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,26,,,159.969
Die For You,The Weeknd,41,,,133.629
"Kesariya (From ""Brahmastra"")","Pritam, Arijit Singh, Amitabh Bhattacharya",33,,,94.009
cómo dormiste?,Rels B,53,,,126.426
"Villano Antillano: Bzrp Music Sessions, Vol. 51","Bizarrap, Villano Antillano",45,,,127.999
La Llevo Al Cielo (Ft. Ñengo Flow),"Chris Jedi, Anuel AA, Chencho Corleone, Ñengo Flow",53,,,170.023
ALIEN SUPERSTAR,Beyoncé,24,,,121.892
WAIT FOR U (feat. Drake & Tems),"Future, Drake, Tems",10,,,83.389
Un Ratito,Bad Bunny,10,,,93.05
GIVENCHY,Duki,25,,,102.974
Neverita,Bad Bunny,15,,,122.016
Call Out My Name,The Weeknd,1,,,134.17
august,Taylor Swift,11,,,89.937
Normal,Feid,57,,,170.079
CUFF IT,Beyoncé,30,,,115.042
I Was Never There,"The Weeknd, Gesaffelstein",17,,,113.26
ULTRA SOLO REMIX,"Polimá Westcoast, Pailita, Feid, Paloma Mami, De La Ghetto",44,,,109.97
Ojos Marrones,Lasso,72,,,120.014
Master Of Puppets,Metallica,20,,,105.173
Starboy,"The Weeknd, Daft Punk",1,,,186.003
Andrea,"Bad Bunny, Buscabulla",21,,,103.071
Un Coco,Bad Bunny,25,,,151.991
Si Te La Encuentras Por Ahí,Feid,86,,,171.945
Belly Dancer,"Imanbek, BYOR",77,,,121.985
Last Last,Burna Boy,93,,,87.925
Dos Mil 16,Bad Bunny,19,,,130.058
"Stay With Me (with Justin Timberlake, Halsey & Pharrell)","Calvin Harris, Justin Timberlake, Halsey, Pharrell Williams",86,,,125.975
I Wanna Be Yours,Arctic Monkeys,103,,,67.528
Everybody Wants To Rule The World,Tears For Fears,105,,,112.067
Don’t Blame Me,Taylor Swift,72,,,135.917
Only Love Can Hurt Like This,Paloma Faith,93,,,90.99
Every Breath You Take,The Police,109,,,117.401
In The Stars,Benson Boone,54,,,78.007
After Dark,Mr.Kitty,112,,,140.019
Yo No Soy Celoso,Bad Bunny,11,,,142.004
Night Changes,One Direction,111,,,120.001
The Hills,The Weeknd,52,,,113.003
TV,Billie Eilish,27,,,140.214
Me Fui de Vacaciones,Bad Bunny,14,,,85.046
LA INOCENTE,"Mora, Feid",121,,,91.911
Summertime Sadness,Lana Del Rey,122,,,111.945
Atlantis,Seafret,126,,,166.159
Numb,"Marshmello, Khalid",114,,,119.966
ULTRA SOLO,"Polimá Westcoast, Pailita",42,,,109.982
Calm Down,Rema,130,,,107.003
Massive,Drake,18,,,124.994
Aguacero,Bad Bunny,22,,,121.391
POP!,NAYEON,68,,,97.001
Apocalypse,Cigarettes After Sex,135,,,94.473
Otro Atardecer,"Bad Bunny, The Marías",24,,,108.02
El Rescate,"Grupo Marca Registrada, Junior H",129,,,99.238
Sweet Child O' Mine,Guns N' Roses,101,,,125.116
Callaita,"Bad Bunny, Tainy",7,,,176.086
Potion (with Dua Lipa & Young Thug),"Calvin Harris, Dua Lipa, Young Thug",26,,,99.987
Crazy What Love Can Do,"David Guetta, Becky Hill, Ella Henderson",127,,,122.872
THE SHADE,Rex Orange County,161,,,119.869
Cooped Up (with Roddy Ricch),"Post Malone, Roddy Ricch",18,,,93.923
Stargirl Interlude,"The Weeknd, Lana Del Rey",168,,,89.965
ENERGY (feat. Beam),"Beyoncé, BEAM",34,,,114.991
Matilda,Harry Styles,5,,,114.199
Music For a Sushi Restaurant,Harry Styles,6,,,107.041
Nerdesin,Ezhel,164,,,100.004
Never Sleep (with Lil Baby feat. Travis Scott),"NAV, Lil Baby, Travis Scott",101,,,139.957
Pipoco,"Ana Castela, Melody, Dj Chris No Beat",100,,,134.991
X ÚLTIMA VEZ,"Daddy Yankee, Bad Bunny",18,,,90.04
There's Nothing Holdin' Me Back,Shawn Mendes,5,,,121.998
Angel Baby,Troye Sivan,59,,,72.498
SUMMER RENAISSANCE,Beyoncé,46,,,120.004
Come Back Home,Sofia Carson,193,,,144.946
Yet To Come,BTS,7,,,172.029
Demons,Imagine Dragons,194,,,89.938
Pasoori,"Shae Gill, Ali Sethi",109,,,91.991
Heartless,Kanye West,198,,,87.999
I'M THAT GIRL,Beyoncé,33,,,105.865
CHURCH GIRL,Beyoncé,39,,,92.028
COZY,Beyoncé,50,,,149.147
VIRGO'S GROOVE,Beyoncé,77,,,107.988
PLASTIC OFF THE SOFA,Beyoncé,85,,,97.057
HEATED,Beyoncé,93,,,110.952
MOVE (feat. Grace Jones & Tems),"Beyoncé, Grace Jones, Tems",96,,,118.028
THIQUE,Beyoncé,102,,,128.955
PURE/HONEY,Beyoncé,114,,,123.973
ALL UP IN YOUR MIND,Beyoncé,148,,,135.869
AMERICA HAS A PROBLEM,Beyoncé,152,,,126.035
